GENESIS-Tabelle: 12411-0018;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerung: Kreise, Stichtag, Geschlecht, Altersgruppen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Fortschreibung des Bevölkerungsstandes;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsstand (Anzahl);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;männlich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich;weiblich
;;;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr;unter 3 Jahre;3 bis unter 6 Jahre;6 bis unter 10 Jahre;10 bis unter 15 Jahre;15 bis unter 18 Jahre;18 bis unter 20 Jahre;20 bis unter 25 Jahre;25 bis unter 30 Jahre;30 bis unter 35 Jahre;35 bis unter 40 Jahre;40 bis unter 45 Jahre;45 bis unter 50 Jahre;50 bis unter 55 Jahre;55 bis unter 60 Jahre;60 bis unter 65 Jahre;65 bis unter 75 Jahre;75 Jahre und mehr
31.12.2019;3358;Heidekreis;1982;2059;2673;3432;2265;1637;4226;4399;4406;3941;3864;4435;5880;5974;4875;7186;7017;1901;1830;2408;3175;2065;1464;3424;3555;3890;3912;3769;4495;6018;6041;4979;7576;9920
31.12.2019;3359;Stade, Landkreis;3173;3161;4100;5025;3207;2291;6023;5986;6311;6043;6150;6817;8683;8361;6646;10245;9609;2857;2930;3668;4743;3118;2175;5147;5246;6017;6147;5985;6659;8503;8391;6778;11309;13008
31.12.2019;3360;Uelzen, Landkreis;1123;1128;1486;2055;1369;961;2491;2364;2510;2326;2407;2941;3991;4067;3401;5181;5336;1048;1100;1432;1948;1319;889;2221;2211;2290;2293;2515;3117;4043;4106;3564;5590;7566
31.12.2019;3361;Verden, Landkreis;2048;2183;2646;3279;2097;1508;3822;3748;3870;3877;3739;4364;5880;5582;4628;7344;6684;2013;2045;2587;3231;1991;1454;3239;3370;3808;4073;3803;4577;5924;5876;4895;7847;9101
31.12.2019;3401;Delmenhorst, kreisfreie Stadt;1288;1236;1438;1902;1295;862;2256;2464;2530;2232;2166;2463;3117;3058;2424;3823;3759;1267;1219;1366;1673;1072;779;2100;2267;2362;2203;2241;2529;3058;3012;2583;4433;5082
31.12.2019;3402;Emden, kreisfreie Stadt;726;771;916;1168;705;576;1808;1914;1643;1480;1383;1601;2028;1887;1538;2554;2186;669;677;871;1043;725;575;1644;1593;1506;1436;1348;1535;1963;1880;1560;2800;3204
31.12.2019;3403;Oldenburg (Oldenburg), kreisfreie Stadt;2291;2295;2769;3587;2224;1897;6209;7397;6472;5207;4669;4914;6416;5818;4897;7212;6745;2318;2159;2736;3468;2155;1855;6946;7317;6463;5395;4919;5286;6763;6553;5350;8391;9984
31.12.2019;3404;Osnabrück, kreisfreie Stadt;2345;2087;2726;3448;2089;1783;7481;7954;6468;5148;4529;4932;5932;5462;4553;6457;6487;2273;2111;2578;3212;1964;1972;8652;7811;5765;5154;4513;5128;5861;5611;4933;7538;10294
31.12.2019;3405;Wilhelmshaven, kreisfreie Stadt;1017;966;1177;1545;920;786;2728;3191;2494;1844;1825;2029;2930;2947;2413;4151;4481;998;957;1151;1419;923;729;2546;2356;2115;1845;1751;2026;2955;3092;2615;4763;6404
31.12.2019;3451;Ammerland, Landkreis;1716;1915;2294;3046;2009;1474;3352;3122;3427;3462;3369;4054;5367;5083;4059;6741;6416;1768;1690;2251;2861;1970;1312;2814;3170;3501;3583;3619;4235;5487;5337;4357;7364;8634
31.12.2019;3452;Aurich, Landkreis;2590;2595;3379;4577;3074;2159;5490;5326;5305;5017;5078;6234;8165;7777;6643;11270;8637;2454;2364;3243;4093;2835;2123;4875;4700;5034;4998;5095;6609;8292;8206;7271;11896;12290
31.12.2019;3453;Cloppenburg, Landkreis;3047;2912;3646;4887;3249;2318;6079;6014;5863;5577;5069;5773;7110;6773;5412;7048;5659;2837;2816;3464;4564;3028;2093;5153;5288;5248;5106;4902;5496;6654;6564;5372;7123;8538
31.12.2019;3454;Emsland, Landkreis;5094;4989;6276;8471;5458;4079;10527;10966;11215;10441;10240;11449;14153;13182;11089;15805;12898;4861;4792;5981;7902;5299;3506;8643;9216;9783;9499;9266;10765;13147;12676;11045;16146;18095
31.12.2019;3455;Friesland, Landkreis;1268;1385;1738;2193;1483;1099;2544;2456;2595;2440;2388;2960;4310;4165;3358;5905;5892;1206;1268;1595;2031;1415;966;2211;2358;2552;2508;2589;3156;4464;4455;3568;6466;7717
31.12.2019;3456;Grafschaft Bentheim, Landkreis;2104;2036;2716;3560;2285;1644;4109;4117;4156;4022;4013;4535;5958;5780;4628;6938;6057;1995;1984;2550;3355;2147;1436;3518;3744;3922;3956;3737;4594;5919;5516;4611;7191;8329
31.12.2019;3457;Leer, Landkreis;2580;2469;3156;4116;2753;2001;5112;5106;5487;5158;4826;5772;7317;7008;5636;9177;7537;2377;2336;3003;4011;2629;1852;4481;4704;4849;4711;4544;5749;7210;7023;5997;9549;10520
31.12.2019;3458;Oldenburg, Landkreis;1902;1850;2410;3279;2179;1622;3722;3374;3577;3574;3670;4376;6185;5774;4587;6589;6203;1763;1791;2322;3010;1945;1448;3100;3137;3522;3639;3824;4652;6082;5825;4537;7030;8390
31.12.2019;3459;Osnabrück, Landkreis;5551;5553;6963;9051;5796;4246;10638;10361;10861;10357;10234;11684;15203;15295;12560;17449;15935;5259;5089;6523;8456;5690;3872;8913;9077;10259;10191;10287;12007;15103;15216;12599;18150;23652
